DESCRIPCIÓN DE LAS UNIDADES,Dólares de Estados Unidos por Euro,Yenes japoneses por Euro,Francos suizos por Euro,Libras esterlinas por Euro,Coronas checas por Euro,Coronas danesas por Euro,Forints húngaros por Euro,Zlotys polacos por Euro,Lei rumanos por Euro,Coronas suecas por Euro,Coronas noruegas por Euro,Liras turcas por Euro,Dólares australianos por Euro,Reales brasileños por Euro,Dólares canadienses por Euro,Yuans por Euro,Dólares de Hong Kong por Euro,Rupias indonesias por Euro,Rupias indias por euro,Wons surcoreanos por Euro,Pesos mejicanos por Euro,Dólares neozelandeses por Euro,Pesos filipinos por Euro,Dólares de Singapur por Euro
12 JUL 2016,"1,109 USD","115,290 JPY","1,090 CHF","0,843 GBP","27,034 CZK","7,438 DKK","313,940 HUF","4,417 PLN","4,494 RON","9,447 SEK","9,350 NOK","3,203 TRY","1,453 AUD","3,641 BRL","1,445 CAD","7,415 €","8,605 CNY","14.555,480 IDR","74,422 INR","1.271,300 KRW","20,287 MXN","1,518 NZD","52,534 PHP","1,494 SGD"
13 JUL 2016,"1,107 USD","115,820 JPY","1,091 CHF","0,834 GBP","27,033 CZK","7,438 DKK","313,390 HUF","4,406 PLN","4,491 RON","9,437 SEK","9,315 NOK","3,205 TRY","1,452 AUD","3,652 BRL","1,445 CAD","7,408 €","8,589 CNY","14.443,980 IDR","74,216 INR","1.265,580 KRW","20,280 MXN","1,515 NZD","52,182 PHP","1,490 SGD"
14 JUL 2016,"1,116 USD","117,880 JPY","1,090 CHF","0,833 GBP","27,049 CZK","7,438 DKK","313,640 HUF","4,412 PLN","4,490 RON","9,441 SEK","9,325 NOK","3,222 TRY","1,459 AUD","3,604 BRL","1,442 CAD","7,458 €","8,654 CNY","14.562,120 IDR","74,594 INR","1.262,250 KRW","20,352 MXN","1,547 NZD","52,436 PHP","1,498 SGD"
15 JUL 2016,"1,113 USD","117,630 JPY","1,090 CHF","0,833 GBP","27,040 CZK","7,438 DKK","314,950 HUF","4,410 PLN","4,480 RON","9,456 SEK","9,318 NOK","3,213 TRY","1,454 AUD","3,623 BRL","1,432 CAD","7,436 €","8,628 CNY","14.563,770 IDR","74,585 INR","1.260,060 KRW","20,442 MXN","1,553 NZD","51,950 PHP","1,496 SGD"
18 JUL 2016,"1,105 USD","116,820 JPY","1,087 CHF","0,834 GBP","27,024 CZK","7,439 DKK","315,010 HUF","4,381 PLN","4,469 RON","9,468 SEK","9,363 NOK","3,268 TRY","1,456 AUD","3,596 BRL","1,432 CAD","7,409 €","8,571 CNY","14.468,930 IDR","74,276 INR","1.257,600 KRW","20,435 MXN","1,556 NZD","51,650 PHP","1,490 SGD"
19 JUL 2016,"1,104 USD","117,200 JPY","1,088 CHF","0,840 GBP","27,014 CZK","7,439 DKK","314,730 HUF","4,373 PLN","4,477 RON","9,492 SEK","9,349 NOK","3,288 TRY","1,473 AUD","3,608 BRL","1,436 CAD","7,388 €","8,559 CNY","14.443,160 IDR","74,082 INR","1.257,600 KRW","20,371 MXN","1,568 NZD","51,735 PHP","1,492 SGD"
20 JUL 2016,"1,101 USD","117,330 JPY","1,088 CHF","0,836 GBP","27,022 CZK","7,438 DKK","315,050 HUF","4,376 PLN","4,474 RON","9,468 SEK","9,355 NOK","3,346 TRY","1,471 AUD","3,576 BRL","1,438 CAD","7,350 €","8,541 CNY","14.433,830 IDR","74,012 INR","1.257,060 KRW","20,368 MXN","1,566 NZD","51,917 PHP","1,496 SGD"
21 JUL 2016,"1,102 USD","117,050 JPY","1,087 CHF","0,836 GBP","27,025 CZK","7,439 DKK","314,610 HUF","4,369 PLN","4,469 RON","9,474 SEK","9,354 NOK","3,384 TRY","1,471 AUD","3,580 BRL","1,438 CAD","7,351 €","8,543 CNY","14.448,380 IDR","74,037 INR","1.253,580 KRW","20,543 MXN","1,579 NZD","51,975 PHP","1,493 SGD"
22 JUL 2016,"1,101 USD","116,860 JPY","1,086 CHF","0,841 GBP","27,023 CZK","7,439 DKK","313,340 HUF","4,355 PLN","4,461 RON","9,498 SEK","9,385 NOK","3,356 TRY","1,472 AUD","3,614 BRL","1,444 CAD","7,350 €","8,542 CNY","14.445,450 IDR","73,878 INR","1.251,190 KRW","20,491 MXN","1,575 NZD","51,836 PHP","1,493 SGD"
25 JUL 2016,"1,098 USD","116,640 JPY","1,084 CHF","0,837 GBP","27,025 CZK","7,439 DKK","312,640 HUF","4,358 PLN","4,448 RON","9,507 SEK","9,410 NOK","3,328 TRY","1,467 AUD","3,576 BRL","1,447 CAD","7,336 €","8,519 CNY","14.426,500 IDR","73,962 INR","1.250,460 KRW","20,406 MXN","1,571 NZD","51,751 PHP","1,494 SGD"
26 JUL 2016,"1,100 USD","114,670 JPY","1,087 CHF","0,837 GBP","27,021 CZK","7,439 DKK","313,160 HUF","4,363 PLN","4,466 RON","9,512 SEK","9,437 NOK","3,351 TRY","1,460 AUD","3,608 BRL","1,455 CAD","7,336 €","8,530 CNY","14.488,800 IDR","74,042 INR","1.249,220 KRW","20,673 MXN","1,556 NZD","51,855 PHP","1,493 SGD"
27 JUL 2016,"1,099 USD","116,230 JPY","1,093 CHF","0,839 GBP","27,035 CZK","7,439 DKK","313,560 HUF","4,373 PLN","4,466 RON","9,537 SEK","9,439 NOK","3,342 TRY","1,472 AUD","3,606 BRL","1,450 CAD","7,331 €","8,525 CNY","14.447,160 IDR","73,870 INR","1.247,170 KRW","20,687 MXN","1,563 NZD","51,872 PHP","1,493 SGD"
28 JUL 2016,"1,109 USD","116,140 JPY","1,089 CHF","0,842 GBP","27,045 CZK","7,440 DKK","312,150 HUF","4,364 PLN","4,459 RON","9,550 SEK","9,441 NOK","3,349 TRY","1,474 AUD","3,631 BRL","1,460 CAD","7,384 €","8,602 CNY","14.530,670 IDR","74,354 INR","1.251,170 KRW","20,872 MXN","1,565 NZD","52,242 PHP","1,498 SGD"
29 JUL 2016,"1,111 USD","114,830 JPY","1,082 CHF","0,844 GBP","27,031 CZK","7,437 DKK","312,190 HUF","4,363 PLN","4,466 RON","9,567 SEK","9,509 NOK","3,352 TRY","1,478 AUD","3,648 BRL","1,464 CAD","7,391 €","8,621 CNY","14.559,700 IDR","74,407 INR","1.246,830 KRW","21,029 MXN","1,562 NZD","52,431 PHP","1,502 SGD"
