DESCRIPCIÓN DE LAS UNIDADES,Dólares de Estados Unidos por Euro,Yenes japoneses por Euro,Francos suizos por Euro,Libras esterlinas por Euro,Coronas checas por Euro,Coronas danesas por Euro,Forints húngaros por Euro,Zlotys polacos por Euro,Lei rumanos por Euro,Coronas suecas por Euro,Coronas noruegas por Euro,Liras turcas por Euro,Dólares australianos por Euro,Reales brasileños por Euro,Dólares canadienses por Euro,Yuans por Euro,Dólares de Hong Kong por Euro,Rupias indonesias por Euro,Rupias indias por euro,Wons surcoreanos por Euro,Pesos mejicanos por Euro,Dólares neozelandeses por Euro,Pesos filipinos por Euro,Dólares de Singapur por Euro
17 MAR 2021,"1,191 USD","130,020 JPY","1,105 CHF","0,857 GBP","26,159 CZK","7,436 DKK","367,740 HUF","4,614 PLN","4,887 RON","10,136 SEK","10,121 NOK","8,950 TRY","1,543 AUD","6,730 BRL","1,485 CAD","7,744 €","9,248 CNY","17.216,300 IDR","86,429 INR","1.346,650 KRW","24,688 MXN","1,662 NZD","57,982 PHP","1,604 SGD"
18 MAR 2021,"1,191 USD","130,080 JPY","1,107 CHF","0,856 GBP","26,170 CZK","7,436 DKK","368,180 HUF","4,625 PLN","4,886 RON","10,157 SEK","10,106 NOK","8,770 TRY","1,535 AUD","6,623 BRL","1,482 CAD","7,751 €","9,249 CNY","17.165,190 IDR","86,611 INR","1.343,250 KRW","24,531 MXN","1,657 NZD","57,997 PHP","1,601 SGD"
19 MAR 2021,"1,189 USD","129,540 JPY","1,107 CHF","0,858 GBP","26,127 CZK","7,436 DKK","367,940 HUF","4,620 PLN","4,885 RON","10,174 SEK","10,202 NOK","8,635 TRY","1,537 AUD","6,571 BRL","1,488 CAD","7,741 €","9,235 CNY","17.128,990 IDR","86,216 INR","1.344,690 KRW","24,160 MXN","1,660 NZD","57,795 PHP","1,597 SGD"
22 MAR 2021,"1,193 USD","129,770 JPY","1,102 CHF","0,862 GBP","26,075 CZK","7,436 DKK","366,900 HUF","4,602 PLN","4,886 RON","10,158 SEK","10,139 NOK","9,410 TRY","1,540 AUD","6,592 BRL","1,490 CAD","7,758 €","9,261 CNY","17.176,420 IDR","86,290 INR","1.344,780 KRW","24,634 MXN","1,662 NZD","57,843 PHP","1,599 SGD"
23 MAR 2021,"1,188 USD","128,990 JPY","1,107 CHF","0,862 GBP","26,198 CZK","7,436 DKK","366,510 HUF","4,619 PLN","4,889 RON","10,181 SEK","10,178 NOK","9,364 TRY","1,549 AUD","6,556 BRL","1,494 CAD","7,737 €","9,229 CNY","17.105,580 IDR","86,103 INR","1.342,480 KRW","24,593 MXN","1,692 NZD","57,779 PHP","1,596 SGD"
24 MAR 2021,"1,183 USD","128,600 JPY","1,107 CHF","0,863 GBP","26,206 CZK","7,436 DKK","364,930 HUF","4,628 PLN","4,888 RON","10,164 SEK","10,156 NOK","9,401 TRY","1,553 AUD","6,526 BRL","1,488 CAD","7,713 €","9,186 CNY","17.082,000 IDR","85,859 INR","1.338,120 KRW","24,524 MXN","1,696 NZD","57,468 PHP","1,592 SGD"
25 MAR 2021,"1,180 USD","128,750 JPY","1,105 CHF","0,861 GBP","26,233 CZK","7,436 DKK","364,780 HUF","4,640 PLN","4,887 RON","10,194 SEK","10,165 NOK","9,431 TRY","1,555 AUD","6,696 BRL","1,485 CAD","7,722 €","9,170 CNY","17.024,390 IDR","85,761 INR","1.340,880 KRW","24,662 MXN","1,695 NZD","57,335 PHP","1,590 SGD"
26 MAR 2021,"1,178 USD","129,340 JPY","1,109 CHF","0,855 GBP","26,081 CZK","7,436 DKK","363,580 HUF","4,649 PLN","4,888 RON","10,191 SEK","10,126 NOK","9,452 TRY","1,546 AUD","6,711 BRL","1,481 CAD","7,706 €","9,154 CNY","16.986,700 IDR","85,485 INR","1.332,170 KRW","24,258 MXN","1,686 NZD","57,132 PHP","1,587 SGD"
29 MAR 2021,"1,178 USD","129,190 JPY","1,108 CHF","0,851 GBP","26,079 CZK","7,436 DKK","362,320 HUF","4,646 PLN","4,903 RON","10,221 SEK","10,074 NOK","9,621 TRY","1,540 AUD","6,796 BRL","1,483 CAD","7,733 €","9,162 CNY","17.021,990 IDR","85,504 INR","1.334,490 KRW","24,451 MXN","1,681 NZD","57,112 PHP","1,586 SGD"
30 MAR 2021,"1,174 USD","129,480 JPY","1,106 CHF","0,854 GBP","26,122 CZK","7,437 DKK","363,300 HUF","4,658 PLN","4,921 RON","10,247 SEK","10,061 NOK","9,780 TRY","1,542 AUD","6,769 BRL","1,481 CAD","7,715 €","9,128 CNY","17.063,200 IDR","86,254 INR","1.331,350 KRW","24,226 MXN","1,679 NZD","57,015 PHP","1,582 SGD"
31 MAR 2021,"1,173 USD","129,910 JPY","1,107 CHF","0,852 GBP","26,143 CZK","7,437 DKK","363,270 HUF","4,651 PLN","4,922 RON","10,238 SEK","9,996 NOK","9,725 TRY","1,541 AUD","6,741 BRL","1,478 CAD","7,681 €","9,115 CNY","17.030,560 IDR","85,813 INR","1.324,190 KRW","24,051 MXN","1,677 NZD","56,901 PHP","1,577 SGD"
01 ABR 2021,"1,175 USD","130,030 JPY","1,110 CHF","0,852 GBP","26,085 CZK","7,438 DKK","361,840 HUF","4,609 PLN","4,909 RON","10,275 SEK","10,041 NOK","9,590 TRY","1,550 AUD","6,615 BRL","1,479 CAD","7,720 €","9,135 CNY","17.068,230 IDR","86,228 INR","1.328,360 KRW","23,879 MXN","1,681 NZD","57,076 PHP","1,580 SGD"
06 ABR 2021,"1,181 USD","130,270 JPY","1,107 CHF","0,854 GBP","26,051 CZK","7,438 DKK","360,310 HUF","4,591 PLN","4,918 RON","10,261 SEK","10,077 NOK","9,628 TRY","1,548 AUD","6,664 BRL","1,484 CAD","7,739 €","9,186 CNY","17.133,310 IDR","86,700 INR","1.323,160 KRW","23,940 MXN","1,681 NZD","57,424 PHP","1,584 SGD"
07 ABR 2021,"1,188 USD","130,560 JPY","1,104 CHF","0,861 GBP","25,919 CZK","7,437 DKK","359,680 HUF","4,576 PLN","4,919 RON","10,236 SEK","10,054 NOK","9,723 TRY","1,558 AUD","6,644 BRL","1,498 CAD","7,776 €","9,253 CNY","17.304,710 IDR","88,368 INR","1.328,050 KRW","24,009 MXN","1,691 NZD","57,965 PHP","1,592 SGD"
08 ABR 2021,"1,187 USD","129,710 JPY","1,102 CHF","0,863 GBP","25,875 CZK","7,438 DKK","358,650 HUF","4,551 PLN","4,920 RON","10,207 SEK","10,078 NOK","9,680 TRY","1,554 AUD","6,655 BRL","1,495 CAD","7,775 €","9,236 CNY","17.257,410 IDR","88,589 INR","1.324,910 KRW","23,950 MXN","1,686 NZD","57,713 PHP","1,592 SGD"
09 ABR 2021,"1,189 USD","130,420 JPY","1,101 CHF","0,867 GBP","25,945 CZK","7,437 DKK","357,970 HUF","4,539 PLN","4,920 RON","10,173 SEK","10,113 NOK","9,690 TRY","1,558 AUD","6,664 BRL","1,495 CAD","7,793 €","9,247 CNY","17.354,520 IDR","88,815 INR","1.331,280 KRW","23,937 MXN","1,686 NZD","57,764 PHP","1,594 SGD"
12 ABR 2021,"1,190 USD","130,200 JPY","1,100 CHF","0,865 GBP","26,031 CZK","7,437 DKK","356,430 HUF","4,525 PLN","4,920 RON","10,198 SEK","10,094 NOK","9,704 TRY","1,561 AUD","6,746 BRL","1,493 CAD","7,791 €","9,256 CNY","17.391,620 IDR","89,302 INR","1.338,460 KRW","23,969 MXN","1,691 NZD","57,845 PHP","1,596 SGD"
13 ABR 2021,"1,190 USD","130,230 JPY","1,100 CHF","0,867 GBP","26,016 CZK","7,437 DKK","359,440 HUF","4,567 PLN","4,922 RON","10,211 SEK","10,168 NOK","9,689 TRY","1,565 AUD","6,822 BRL","1,501 CAD","7,791 €","9,248 CNY","17.431,210 IDR","89,722 INR","1.337,320 KRW","24,025 MXN","1,695 NZD","57,854 PHP","1,598 SGD"
14 ABR 2021,"1,196 USD","130,330 JPY","1,103 CHF","0,869 GBP","25,929 CZK","7,437 DKK","358,610 HUF","4,554 PLN","4,924 RON","10,143 SEK","10,075 NOK","9,679 TRY","1,556 AUD","6,819 BRL","1,503 CAD","7,815 €","9,292 CNY","17.496,570 IDR","89,833 INR","1.333,870 KRW","24,051 MXN","1,682 NZD","58,031 PHP","1,600 SGD"
15 ABR 2021,"1,197 USD","130,140 JPY","1,105 CHF","0,868 GBP","25,942 CZK","7,437 DKK","358,930 HUF","4,555 PLN","4,925 RON","10,130 SEK","10,043 NOK","9,711 TRY","1,545 AUD","6,763 BRL","1,496 CAD","7,813 €","9,298 CNY","17.497,090 IDR","89,801 INR","1.335,300 KRW","23,946 MXN","1,672 NZD","58,013 PHP","1,597 SGD"
16 ABR 2021,"1,199 USD","130,370 JPY","1,101 CHF","0,868 GBP","25,927 CZK","7,437 DKK","361,100 HUF","4,551 PLN","4,926 RON","10,106 SEK","10,018 NOK","9,669 TRY","1,546 AUD","6,740 BRL","1,499 CAD","7,816 €","9,315 CNY","17.420,960 IDR","89,236 INR","1.335,700 KRW","23,881 MXN","1,673 NZD","58,001 PHP","1,598 SGD"
19 ABR 2021,"1,204 USD","130,090 JPY","1,100 CHF","0,864 GBP","25,903 CZK","7,436 DKK","360,230 HUF","4,547 PLN","4,926 RON","10,099 SEK","9,973 NOK","9,720 TRY","1,549 AUD","6,706 BRL","1,504 CAD","7,832 €","9,348 CNY","17.463,330 IDR","90,068 INR","1.340,890 KRW","23,886 MXN","1,675 NZD","58,223 PHP","1,601 SGD"
20 ABR 2021,"1,205 USD","130,640 JPY","1,103 CHF","0,863 GBP","25,903 CZK","7,437 DKK","361,110 HUF","4,553 PLN","4,928 RON","10,129 SEK","9,997 NOK","9,776 TRY","1,549 AUD","6,712 BRL","1,509 CAD","7,830 €","9,355 CNY","17.508,480 IDR","90,548 INR","1.342,910 KRW","23,973 MXN","1,674 NZD","58,214 PHP","1,601 SGD"
21 ABR 2021,"1,201 USD","129,800 JPY","1,103 CHF","0,863 GBP","25,893 CZK","7,436 DKK","362,300 HUF","4,556 PLN","4,926 RON","10,151 SEK","10,042 NOK","9,816 TRY","1,555 AUD","6,687 BRL","1,514 CAD","7,801 €","9,321 CNY","17.464,900 IDR","90,596 INR","1.344,210 KRW","23,905 MXN","1,673 NZD","58,147 PHP","1,597 SGD"
22 ABR 2021,"1,205 USD","130,300 JPY","1,104 CHF","0,869 GBP","25,860 CZK","7,437 DKK","363,520 HUF","4,557 PLN","4,927 RON","10,124 SEK","10,048 NOK","9,955 TRY","1,558 AUD","6,655 BRL","1,507 CAD","7,818 €","9,347 CNY","17.515,060 IDR","90,394 INR","1.346,210 KRW","24,008 MXN","1,679 NZD","58,304 PHP","1,600 SGD"
23 ABR 2021,"1,207 USD","129,980 JPY","1,104 CHF","0,869 GBP","25,847 CZK","7,436 DKK","363,470 HUF","4,562 PLN","4,925 RON","10,141 SEK","10,043 NOK","10,064 TRY","1,559 AUD","6,557 BRL","1,506 CAD","7,832 €","9,365 CNY","17.526,350 IDR","90,472 INR","1.347,030 KRW","23,946 MXN","1,680 NZD","58,333 PHP","1,601 SGD"
26 ABR 2021,"1,209 USD","130,540 JPY","1,107 CHF","0,870 GBP","25,807 CZK","7,436 DKK","363,300 HUF","4,557 PLN","4,923 RON","10,131 SEK","10,036 NOK","10,043 TRY","1,552 AUD","6,590 BRL","1,503 CAD","7,838 €","9,378 CNY","17.502,080 IDR","90,378 INR","1.343,560 KRW","23,981 MXN","1,673 NZD","58,433 PHP","1,603 SGD"
27 ABR 2021,"1,209 USD","130,880 JPY","1,104 CHF","0,869 GBP","25,895 CZK","7,436 DKK","362,770 HUF","4,564 PLN","4,925 RON","10,140 SEK","10,007 NOK","9,919 TRY","1,553 AUD","6,572 BRL","1,499 CAD","7,837 €","9,383 CNY","17.539,510 IDR","90,152 INR","1.343,470 KRW","24,083 MXN","1,672 NZD","58,517 PHP","1,602 SGD"
28 ABR 2021,"1,207 USD","131,470 JPY","1,104 CHF","0,870 GBP","25,960 CZK","7,436 DKK","361,750 HUF","4,586 PLN","4,929 RON","10,111 SEK","9,980 NOK","9,868 TRY","1,558 AUD","6,562 BRL","1,496 CAD","7,827 €","9,370 CNY","17.501,500 IDR","89,889 INR","1.344,950 KRW","24,172 MXN","1,671 NZD","58,547 PHP","1,601 SGD"
29 ABR 2021,"1,213 USD","132,200 JPY","1,102 CHF","0,869 GBP","25,817 CZK","7,436 DKK","360,390 HUF","4,565 PLN","4,923 RON","10,112 SEK","9,915 NOK","9,969 TRY","1,555 AUD","6,498 BRL","1,490 CAD","7,846 €","9,416 CNY","17.486,410 IDR","89,855 INR","1.343,390 KRW","24,236 MXN","1,670 NZD","58,641 PHP","1,608 SGD"
30 ABR 2021,"1,208 USD","131,620 JPY","1,100 CHF","0,869 GBP","25,883 CZK","7,436 DKK","359,860 HUF","4,564 PLN","4,929 RON","10,164 SEK","9,953 NOK","9,978 TRY","1,558 AUD","6,460 BRL","1,483 CAD","7,813 €","9,382 CNY","17.424,240 IDR","89,480 INR","1.346,240 KRW","24,235 MXN","1,674 NZD","58,286 PHP","1,605 SGD"
03 MAY 2021,"1,204 USD","131,900 JPY","1,102 CHF","0,868 GBP","25,773 CZK","7,437 DKK","359,940 HUF","4,552 PLN","4,927 RON","10,180 SEK","10,016 NOK","10,009 TRY","1,557 AUD","6,551 BRL","1,481 CAD","7,797 €","9,355 CNY","17.374,550 IDR","88,996 INR","1.351,950 KRW","24,407 MXN","1,679 NZD","58,081 PHP","1,604 SGD"
04 MAY 2021,"1,202 USD","131,260 JPY","1,098 CHF","0,868 GBP","25,841 CZK","7,436 DKK","360,310 HUF","4,558 PLN","4,928 RON","10,167 SEK","10,012 NOK","10,011 TRY","1,561 AUD","6,579 BRL","1,484 CAD","7,814 €","9,337 CNY","17.395,470 IDR","88,814 INR","1.353,560 KRW","24,404 MXN","1,689 NZD","57,787 PHP","1,607 SGD"
05 MAY 2021,"1,201 USD","131,200 JPY","1,097 CHF","0,863 GBP","25,825 CZK","7,436 DKK","359,650 HUF","4,578 PLN","4,927 RON","10,195 SEK","9,985 NOK","10,017 TRY","1,551 AUD","6,517 BRL","1,473 CAD","7,764 €","9,327 CNY","17.313,310 IDR","88,693 INR","1.350,980 KRW","24,268 MXN","1,668 NZD","57,658 PHP","1,604 SGD"
06 MAY 2021,"1,206 USD","131,690 JPY","1,095 CHF","0,867 GBP","25,847 CZK","7,436 DKK","358,180 HUF","4,587 PLN","4,926 RON","10,194 SEK","10,056 NOK","10,049 TRY","1,555 AUD","6,471 BRL","1,476 CAD","7,805 €","9,369 CNY","17.246,340 IDR","88,941 INR","1.352,780 KRW","24,420 MXN","1,672 NZD","57,845 PHP","1,610 SGD"
07 MAY 2021,"1,206 USD","131,760 JPY","1,096 CHF","0,868 GBP","25,682 CZK","7,436 DKK","358,010 HUF","4,575 PLN","4,927 RON","10,126 SEK","10,013 NOK","10,002 TRY","1,552 AUD","6,380 BRL","1,469 CAD","7,781 €","9,366 CNY","17.208,370 IDR","88,638 INR","1.350,520 KRW","24,201 MXN","1,673 NZD","57,747 PHP","1,606 SGD"
10 MAY 2021,"1,217 USD","132,310 JPY","1,094 CHF","0,862 GBP","25,591 CZK","7,436 DKK","357,260 HUF","4,563 PLN","4,925 RON","10,124 SEK","10,001 NOK","10,050 TRY","1,543 AUD","6,385 BRL","1,474 CAD","7,805 €","9,450 CNY","17.189,260 IDR","89,259 INR","1.353,140 KRW","24,246 MXN","1,667 NZD","58,247 PHP","1,611 SGD"
11 MAY 2021,"1,217 USD","132,120 JPY","1,098 CHF","0,860 GBP","25,571 CZK","7,436 DKK","358,340 HUF","4,552 PLN","4,927 RON","10,113 SEK","10,032 NOK","10,081 TRY","1,551 AUD","6,358 BRL","1,473 CAD","7,818 €","9,453 CNY","17.254,200 IDR","89,289 INR","1.361,230 KRW","24,136 MXN","1,672 NZD","58,230 PHP","1,613 SGD"
12 MAY 2021,"1,212 USD","131,820 JPY","1,097 CHF","0,858 GBP","25,522 CZK","7,436 DKK","357,400 HUF","4,544 PLN","4,926 RON","10,106 SEK","10,026 NOK","10,112 TRY","1,553 AUD","6,349 BRL","1,464 CAD","7,805 €","9,412 CNY","17.284,090 IDR","88,963 INR","1.362,980 KRW","24,178 MXN","1,675 NZD","57,924 PHP","1,610 SGD"
13 MAY 2021,"1,208 USD","132,370 JPY","1,096 CHF","0,861 GBP","25,575 CZK","7,437 DKK","357,130 HUF","4,547 PLN","4,927 RON","10,172 SEK","10,127 NOK","10,265 TRY","1,567 AUD","6,403 BRL","1,467 CAD","7,797 €","9,384 CNY","17.317,810 IDR","88,860 INR","1.368,030 KRW","24,335 MXN","1,689 NZD","57,903 PHP","1,612 SGD"
14 MAY 2021,"1,212 USD","132,490 JPY","1,095 CHF","0,861 GBP","25,492 CZK","7,436 DKK","355,520 HUF","4,522 PLN","4,926 RON","10,127 SEK","10,007 NOK","10,217 TRY","1,563 AUD","6,394 BRL","1,470 CAD","7,802 €","9,415 CNY","17.331,950 IDR","88,807 INR","1.368,070 KRW","24,023 MXN","1,677 NZD","57,867 PHP","1,616 SGD"
17 MAY 2021,"1,214 USD","132,600 JPY","1,095 CHF","0,862 GBP","25,498 CZK","7,436 DKK","352,900 HUF","4,543 PLN","4,926 RON","10,155 SEK","10,067 NOK","10,166 TRY","1,568 AUD","6,437 BRL","1,472 CAD","7,823 €","9,432 CNY","17.422,720 IDR","89,028 INR","1.382,180 KRW","24,168 MXN","1,688 NZD","58,201 PHP","1,623 SGD"
18 MAY 2021,"1,222 USD","133,090 JPY","1,096 CHF","0,860 GBP","25,427 CZK","7,436 DKK","350,500 HUF","4,524 PLN","4,927 RON","10,136 SEK","10,013 NOK","10,189 TRY","1,565 AUD","6,409 BRL","1,469 CAD","7,850 €","9,491 CNY","17.443,850 IDR","89,231 INR","1.378,110 KRW","24,121 MXN","1,682 NZD","58,515 PHP","1,625 SGD"
19 MAY 2021,"1,221 USD","133,300 JPY","1,101 CHF","0,862 GBP","25,445 CZK","7,436 DKK","350,850 HUF","4,519 PLN","4,928 RON","10,163 SEK","10,106 NOK","10,291 TRY","1,577 AUD","6,452 BRL","1,475 CAD","7,859 €","9,482 CNY","17.552,000 IDR","89,329 INR","1.379,900 KRW","24,295 MXN","1,698 NZD","58,431 PHP","1,627 SGD"
20 MAY 2021,"1,220 USD","132,950 JPY","1,099 CHF","0,864 GBP","25,519 CZK","7,436 DKK","350,600 HUF","4,515 PLN","4,928 RON","10,181 SEK","10,178 NOK","10,211 TRY","1,574 AUD","6,457 BRL","1,478 CAD","7,856 €","9,473 CNY","17.589,830 IDR","89,163 INR","1.379,900 KRW","24,283 MXN","1,699 NZD","58,410 PHP","1,626 SGD"
21 MAY 2021,"1,219 USD","132,610 JPY","1,095 CHF","0,859 GBP","25,452 CZK","7,436 DKK","349,110 HUF","4,489 PLN","4,927 RON","10,122 SEK","10,142 NOK","10,215 TRY","1,570 AUD","6,463 BRL","1,468 CAD","7,839 €","9,464 CNY","17.495,870 IDR","88,802 INR","1.373,050 KRW","24,274 MXN","1,691 NZD","58,391 PHP","1,622 SGD"
24 MAY 2021,"1,221 USD","132,970 JPY","1,096 CHF","0,864 GBP","25,424 CZK","7,436 DKK","347,470 HUF","4,485 PLN","4,926 RON","10,167 SEK","10,209 NOK","10,243 TRY","1,580 AUD","6,530 BRL","1,473 CAD","7,849 €","9,483 CNY","17.530,330 IDR","89,052 INR","1.375,430 KRW","24,368 MXN","1,700 NZD","58,731 PHP","1,624 SGD"
25 MAY 2021,"1,226 USD","133,490 JPY","1,098 CHF","0,866 GBP","25,447 CZK","7,436 DKK","348,860 HUF","4,484 PLN","4,925 RON","10,134 SEK","10,197 NOK","10,318 TRY","1,579 AUD","6,497 BRL","1,476 CAD","7,856 €","9,520 CNY","17.575,540 IDR","89,236 INR","1.375,570 KRW","24,318 MXN","1,692 NZD","59,033 PHP","1,626 SGD"
26 MAY 2021,"1,223 USD","133,160 JPY","1,096 CHF","0,863 GBP","25,451 CZK","7,436 DKK","350,560 HUF","4,497 PLN","4,918 RON","10,150 SEK","10,178 NOK","10,333 TRY","1,573 AUD","6,501 BRL","1,478 CAD","7,815 €","9,492 CNY","17.473,280 IDR","88,971 INR","1.366,000 KRW","24,300 MXN","1,674 NZD","58,881 PHP","1,619 SGD"
27 MAY 2021,"1,220 USD","133,420 JPY","1,097 CHF","0,861 GBP","25,439 CZK","7,436 DKK","348,540 HUF","4,484 PLN","4,916 RON","10,130 SEK","10,195 NOK","10,299 TRY","1,575 AUD","6,468 BRL","1,475 CAD","7,781 €","9,468 CNY","17.449,520 IDR","88,563 INR","1.362,640 KRW","24,256 MXN","1,672 NZD","58,575 PHP","1,615 SGD"
28 MAY 2021,"1,214 USD","133,650 JPY","1,096 CHF","0,858 GBP","25,451 CZK","7,437 DKK","347,850 HUF","4,487 PLN","4,920 RON","10,125 SEK","10,179 NOK","10,440 TRY","1,580 AUD","6,384 BRL","1,471 CAD","7,742 €","9,425 CNY","17.404,540 IDR","88,086 INR","1.355,860 KRW","24,319 MXN","1,681 NZD","58,075 PHP","1,610 SGD"
31 MAY 2021,"1,220 USD","133,790 JPY","1,098 CHF","0,860 GBP","25,454 CZK","7,437 DKK","347,610 HUF","4,486 PLN","4,920 RON","10,121 SEK","10,218 NOK","10,373 TRY","1,578 AUD","6,387 BRL","1,473 CAD","7,772 €","9,469 CNY","17.402,960 IDR","88,541 INR","1.352,040 KRW","24,313 MXN","1,680 NZD","58,138 PHP","1,613 SGD"
01 JUN 2021,"1,223 USD","134,050 JPY","1,099 CHF","0,863 GBP","25,462 CZK","7,437 DKK","346,460 HUF","4,466 PLN","4,919 RON","10,096 SEK","10,111 NOK","10,416 TRY","1,579 AUD","6,360 BRL","1,471 CAD","7,804 €","9,485 CNY","17.426,600 IDR","89,116 INR","1.355,390 KRW","24,328 MXN","1,684 NZD","58,406 PHP","1,617 SGD"
02 JUN 2021,"1,219 USD","133,720 JPY","1,098 CHF","0,861 GBP","25,465 CZK","7,437 DKK","346,060 HUF","4,465 PLN","4,921 RON","10,090 SEK","10,139 NOK","10,464 TRY","1,576 AUD","6,289 BRL","1,471 CAD","7,781 €","9,456 CNY","17.391,630 IDR","89,083 INR","1.356,110 KRW","24,321 MXN","1,684 NZD","58,312 PHP","1,613 SGD"
03 JUN 2021,"1,219 USD","133,810 JPY","1,096 CHF","0,860 GBP","25,448 CZK","7,437 DKK","345,820 HUF","4,452 PLN","4,922 RON","10,115 SEK","10,150 NOK","10,565 TRY","1,579 AUD","6,189 BRL","1,471 CAD","7,791 €","9,455 CNY","17.420,910 IDR","88,876 INR","1.357,750 KRW","24,330 MXN","1,692 NZD","58,208 PHP","1,614 SGD"
04 JUN 2021,"1,212 USD","133,390 JPY","1,095 CHF","0,857 GBP","25,451 CZK","7,437 DKK","346,560 HUF","4,470 PLN","4,923 RON","10,105 SEK","10,156 NOK","10,518 TRY","1,580 AUD","6,187 BRL","1,468 CAD","7,767 €","9,400 CNY","17.358,970 IDR","88,460 INR","1.352,930 KRW","24,442 MXN","1,694 NZD","57,874 PHP","1,609 SGD"
07 JUN 2021,"1,216 USD","132,980 JPY","1,093 CHF","0,858 GBP","25,400 CZK","7,437 DKK","345,910 HUF","4,466 PLN","4,923 RON","10,055 SEK","10,048 NOK","10,490 TRY","1,568 AUD","6,139 BRL","1,468 CAD","7,780 €","9,436 CNY","17.325,100 IDR","88,531 INR","1.351,230 KRW","24,045 MXN","1,683 NZD","57,930 PHP","1,609 SGD"
08 JUN 2021,"1,218 USD","133,280 JPY","1,091 CHF","0,861 GBP","25,394 CZK","7,436 DKK","347,860 HUF","4,470 PLN","4,924 RON","10,076 SEK","10,048 NOK","10,467 TRY","1,572 AUD","6,130 BRL","1,471 CAD","7,794 €","9,453 CNY","17.358,220 IDR","88,778 INR","1.358,730 KRW","24,070 MXN","1,689 NZD","58,097 PHP","1,612 SGD"
09 JUN 2021,"1,220 USD","133,380 JPY","1,091 CHF","0,861 GBP","25,377 CZK","7,437 DKK","347,190 HUF","4,456 PLN","4,925 RON","10,060 SEK","10,052 NOK","10,465 TRY","1,573 AUD","6,135 BRL","1,473 CAD","7,788 €","9,462 CNY","17.375,740 IDR","88,960 INR","1.359,900 KRW","23,939 MXN","1,693 NZD","58,241 PHP","1,613 SGD"
10 JUN 2021,"1,217 USD","133,350 JPY","1,091 CHF","0,863 GBP","25,391 CZK","7,436 DKK","346,140 HUF","4,482 PLN","4,922 RON","10,072 SEK","10,112 NOK","10,328 TRY","1,573 AUD","6,143 BRL","1,474 CAD","7,783 €","9,447 CNY","17.375,340 IDR","88,973 INR","1.358,760 KRW","23,991 MXN","1,693 NZD","58,129 PHP","1,613 SGD"
11 JUN 2021,"1,213 USD","132,880 JPY","1,088 CHF","0,857 GBP","25,335 CZK","7,436 DKK","346,240 HUF","4,470 PLN","4,918 RON","10,064 SEK","10,083 NOK","10,197 TRY","1,569 AUD","6,158 BRL","1,469 CAD","7,752 €","9,409 CNY","17.215,960 IDR","88,671 INR","1.351,090 KRW","23,900 MXN","1,693 NZD","57,876 PHP","1,606 SGD"
14 JUN 2021,"1,211 USD","132,950 JPY","1,089 CHF","0,859 GBP","25,422 CZK","7,436 DKK","351,140 HUF","4,515 PLN","4,920 RON","10,094 SEK","10,083 NOK","10,138 TRY","1,570 AUD","6,185 BRL","1,474 CAD","7,750 €","9,401 CNY","17.267,620 IDR","88,702 INR","1.355,070 KRW","24,118 MXN","1,696 NZD","57,969 PHP","1,607 SGD"
15 JUN 2021,"1,211 USD","133,280 JPY","1,090 CHF","0,862 GBP","25,450 CZK","7,436 DKK","352,080 HUF","4,524 PLN","4,924 RON","10,086 SEK","10,082 NOK","10,359 TRY","1,574 AUD","6,139 BRL","1,476 CAD","7,750 €","9,399 CNY","17.254,070 IDR","88,803 INR","1.354,100 KRW","24,198 MXN","1,699 NZD","58,203 PHP","1,606 SGD"
16 JUN 2021,"1,212 USD","133,190 JPY","1,090 CHF","0,858 GBP","25,472 CZK","7,437 DKK","351,670 HUF","4,517 PLN","4,924 RON","10,128 SEK","10,121 NOK","10,361 TRY","1,572 AUD","6,106 BRL","1,476 CAD","7,758 €","9,411 CNY","17.270,580 IDR","88,880 INR","1.356,230 KRW","24,200 MXN","1,695 NZD","58,274 PHP","1,607 SGD"
17 JUN 2021,"1,194 USD","132,090 JPY","1,093 CHF","0,855 GBP","25,510 CZK","7,437 DKK","354,300 HUF","4,538 PLN","4,924 RON","10,191 SEK","10,197 NOK","10,310 TRY","1,576 AUD","6,029 BRL","1,472 CAD","7,688 €","9,269 CNY","17.266,580 IDR","88,481 INR","1.354,060 KRW","24,441 MXN","1,703 NZD","57,842 PHP","1,600 SGD"
18 JUN 2021,"1,190 USD","131,120 JPY","1,094 CHF","0,858 GBP","25,519 CZK","7,436 DKK","355,410 HUF","4,549 PLN","4,925 RON","10,233 SEK","10,287 NOK","10,346 TRY","1,583 AUD","5,958 BRL","1,472 CAD","7,662 €","9,238 CNY","17.174,780 IDR","88,030 INR","1.347,130 KRW","24,337 MXN","1,707 NZD","57,616 PHP","1,598 SGD"
21 JUN 2021,"1,189 USD","130,910 JPY","1,095 CHF","0,857 GBP","25,569 CZK","7,436 DKK","354,110 HUF","4,533 PLN","4,924 RON","10,216 SEK","10,267 NOK","10,448 TRY","1,582 AUD","6,019 BRL","1,476 CAD","7,692 €","9,233 CNY","17.175,290 IDR","88,186 INR","1.349,190 KRW","24,493 MXN","1,706 NZD","57,973 PHP","1,599 SGD"
